INDIVIDUALS	POPULATION	SLOPE	COHORT	X	Y
1	S1	Southeast	Adult	608272	2121862
2	S1	Southeast	Adult	607742	2121440
3	S1	Southeast	Adult	607759	2121399
4	S1	Southeast	Seedling	607720	2121447
5	S1	Southeast	Seedling	607651	2120841
6	S1	Southeast	Seedling	607660	2120887
7	S2	Southeast	Adult	605977	2122617
8	S2	Southeast	Adult	606323	2122693
9	S2	Southeast	Adult	606510	2122551
10	S2	Southeast	Seedling	605978	2122619
11	S2	Southeast	Seedling	606358	2122674
12	S2	Southeast	Seedling	606521	2122577
13	S3	Southeast	Adult	606849	2122890
14	S3	Southeast	Adult	607081	2123116
15	S3	Southeast	Adult	607566	2122717
16	S3	Southeast	Seedling	606854	2122881
17	S3	Southeast	Seedling	606452	2123149
18	S3	Southeast	Seedling	607312	2122612
19	E1	East	Adult	608772	2127332
20	E1	East	Adult	608353	2127499
21	E1	East	Adult	608154	2127547
22	E1	East	Seedling	608318	2127541
23	E1	East	Seedling	608172	2127537
24	E1	East	Seedling	608104	2128081
25	E2	East	Adult	607472	2127924
26	E2	East	Adult	606988	2127715
27	E2	East	Adult	606980	2127696
28	E2	East	Seedling	606318	2128040
29	E2	East	Seedling	607336	2127745
30	E2	East	Seedling	607341	2127745
31	E3	East	Adult	606941	2128925
32	E3	East	Adult	606956	2128629
33	E3	East	Adult	607197	2129202
34	E3	East	Seedling	607203	2129264
35	E3	East	Seedling	607218	2125971
36	E3	East	Seedling	607416	2127545
37	N1	North	Adult	602973	2134002
38	N1	North	Adult	603616	2133990
39	N1	North	Adult	604848	2134074
40	N1	North	Seedling	603200	2134372
41	N1	North	Seedling	604866	2134044
42	N1	North	Seedling	603193	2134367
43	N2	North	Adult	603171	2133666
44	N2	North	Adult	603607	2133501
45	N2	North	Adult	603793	2133361
46	N2	North	Seedling	603591	2133495
47	N2	North	Seedling	603796	2133377
48	N3	North	Adult	603563	2131467
49	N3	North	Adult	606336	2122685
50	N3	North	Adult	604297	2131683
51	N3	North	Seedling	603542	2131458
52	N3	North	Seedling	603821	2131684
53	N3	North	Seedling	604316	2131920
54	W1	West	Adult	594604	2127434
55	W1	West	Adult	594925	2127550
56	W1	West	Adult	594982	2127564
57	W1	West	Seed	594610	2127425
58	W1	West	Seed	595134	2127234
59	W1	West	Seed	595181	2127447
60	W2	West	Adult	595977	2128339
61	W2	West	Adult	595507	2128343
62	W2	West	Adult	595973	2128094
63	W2	West	Seedling	595955	2128087
64	W2	West	Seedling	595975	2128336
65	W2	West	Seedling	595528	2128334
66	W3	West	Adult	595850	2126405
67	W3	West	Adult	596376	2126454
68	W3	West	Adult	595655	2126379
69	W3	West	Seedling	596373	2126460
70	W3	West	Seedling	595252	2126337
